Aretha Franklin
Diana Ross
Mary Wilson
Ella Fitzgerald
Joni Mitchell
Karen Carpenter
Whitney Houston
Mariah Carey
Carole King
Celine Dion
Dusty Springfield
Taylor Swift
Lesley Gore
Amy Winehouse
Dolly Parton
Donna Summer
Stevie Nicks
Brenda Lee
Avil Lavigne
Ronnie Spector
Nina Simone
Gwen Stefani
Ariana Grande
Eartha Kitt
Cass Elliott
Billie Eilish
Billie Davis
Patti LaBelle
Francois Hardy
Mary Wells
Joan Baez
Martha Reeves
Patsy Cline
Etta James
Billie Holiday
Tina Turner
Annette Hanshaw
Kate Bush
Joan Jett
Barbra Streisand
Julie Andrews
Gladys Knight
Miley Cyrus
Shirley Bassey
Norah Jones
Ma Rainey
Avril Lavigne
Regina Spektor
Tori Amos
Bessie Smith
Memphis Minnie
Toni Braxton
Doja Cat
Mama Thornton
Koko Taylor
Claire Bouchet
Tina Turner
Liz Phair
Annie Lennox
Karen O
Joanna Newsom
Fiona Apple
Melissa Etheridge
Bonnie Raitt
Lady Gaga
Beth Ditto
Janet Jackson
Kylie Minogue
Olivia Newton-John
Brittany Howard
Janelle Monáe
Jenny Lewis
Katy Perry
Connie Francis
LeeAnn Rimes
Gloria Estefan
Alicia Keys
Dionne Warwick
Paula Abdul
Bonnie Tyler
Britney Spears
Sarah MacLachlan
Tegan Sara
Cyndi Lauper
Carly Simon
Ani DiFranco
Florence Welch
Olivia Rodrigo
Hayley Williams
